GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,U7B001,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071,U7C001,U7C002,U7C003,U7C004,U7C005,U7C006,U7C007,U7C008,U7C009,U7C010,U7C011,U7C012,U7C013,U7C014,U7C015,U7C016,U7C017,U7C018,U7C019,U7C020,U7C021,U7C022,U7C023,U7C024,U7C025,U7C026,U7C027,U7C028,U7C029,U7C030,U7C031,U7C032,U7C033,U7C034,U7C035,U7C036,U7C037,U7C038,U7C039,U7C040,U7C041,U7C042,U7C043,U7C044,U7C045,U7C046,U7C047,U7C048,U7C049,U7C050,U7C051,U7C052,U7C053,U7C054,U7C055,U7C056,U7C057,U7C058,U7C059,U7C060,U7C061,U7C062,U7C063,U7C064,U7C065,U7C066,U7C067,U7C068,U7C069,U7C070,U7C071,U7C072,U7C073
G0100010,2020,0500000US01001,1001,3,6,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,33860,1,388,99999,,,,,,,,,,,,,,,1539634184,25674812,Autauga,Autauga County,A,32.5322367,-86.6464395,6,58805,55648,42160,11445,217,881,35,910,3157,2979,534,1007,342,29,848,49,54,20,56,10,0,8,3,14,5,168,62,9,0,15,15,3,32,13,5,0,8,0,6,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,58805,2117,56688,54198,41582,11352,184,873,22,185,2490,2392,521,972,337,29,352,47,54,19,43,7,0,4,3,1,3,93,50,9,0,1,7,3,2,13,0,0,8,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0100030,2020,0500000US01003,1003,3,6,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,19300,1,380,99999,,,,,,,,,,,,,,,4117656199,1132956041,Baldwin,Baldwin County,A,30.6592183,-87.7460666,6,231767,216743,189399,18217,1582,2067,143,5335,15024,14386,1955,4793,1107,97,5986,119,78,8,167,7,3,24,23,19,0,600,210,48,8,65,42,17,126,48,30,0,0,0,0,1,3,0,0,0,0,2,38,18,1,14,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,231767,12686,219081,208713,186495,18001,1291,2029,122,775,10368,9952,1873,4660,1069,97,1919,119,71,8,95,2,3,0,23,13,0,387,173,48,8,24,42,17,19,48,7,0,0,0,0,1,0,0,0,0,0,0,29,18,0,6,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G0100050,2020,0500000US01005,1005,3,6,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,21640,2,999,99999,,,,,,,,,,,,,,,2292160149,50523213,Barbour,Barbour County,A,31.8702531,-85.4051035,6,25223,24523,11317,11933,116,117,1,1039,700,662,228,185,20,0,151,27,0,6,38,3,0,0,3,1,0,28,13,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,25223,1510,23713,23160,11086,11850,58,103,0,63,553,533,226,178,20,0,48,25,0,6,24,3,0,0,2,1,0,18,12,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
G0100070,2020,0500000US01007,1007,3,6,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,13820,1,142,99999,,,,,,,,,,,,,,,1612188717,9572303,Bibb,Bibb County,A,33.0158929,-87.1271475,6,22293,21534,16555,4413,60,32,9,465,759,700,166,303,10,0,189,16,4,1,0,0,0,6,4,0,1,49,18,0,1,8,1,0,10,0,4,0,0,0,7,0,0,0,0,0,0,0,10,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22293,740,21553,20953,16442,4390,39,26,9,47,600,569,165,293,10,0,77,16,4,0,0,0,0,0,4,0,0,25,13,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0100090,2020,0500000US01009,1009,3,6,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,13820,1,142,99999,,,,,,,,,,,,,,,1670259090,14860281,Blount,Blount County,A,33.9773575,-86.56644,6,59134,55478,50663,845,337,178,24,3431,3656,3524,316,1337,131,30,1644,3,3,0,20,4,0,29,0,2,5,109,28,4,1,8,17,4,44,0,1,1,1,0,0,0,0,0,0,0,0,0,22,14,0,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,59134,5771,53363,51063,49764,826,188,174,11,100,2300,2223,316,1315,124,26,415,0,3,0,17,1,0,6,0,0,0,62,27,4,1,3,17,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,14,11,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
G0100110,2020,0500000US01011,1011,3,6,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,1613083467,6030667,Bullock,Bullock County,A,32.1017589,-85.7172613,6,10357,10109,2320,7396,72,9,10,302,248,222,49,32,1,0,105,6,11,3,5,2,0,4,0,3,1,21,9,0,2,1,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10357,503,9854,9717,2281,7388,1,9,7,31,137,114,49,32,0,0,10,6,10,3,1,0,0,0,0,3,0,18,8,0,2,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G0100130,2020,0500000US01013,1013,3,6,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,2012002546,2701199,Butler,Butler County,A,31.751667,-86.6819689,6,19051,18464,9752,8430,29,143,5,105,587,547,223,138,27,1,91,31,3,0,23,2,3,0,3,0,2,37,11,5,4,3,0,1,0,4,0,0,4,0,0,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19051,260,18791,18285,9679,8389,23,143,5,46,506,472,219,135,27,0,35,31,3,0,16,0,3,0,3,0,0,32,11,4,4,0,0,1,0,4,0,0,4,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0100150,2020,0500000US01015,1015,3,6,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,11500,1,999,99999,,,,,,,,,,,,,,,1569246127,16536293,Calhoun,Calhoun County,A,33.7705162,-85.8279089,6,116441,110412,80586,25559,487,1190,119,2471,6029,5732,1290,1940,393,50,1639,131,47,22,160,0,0,36,12,7,5,265,120,33,0,43,17,0,20,11,3,2,5,0,1,3,4,2,0,0,0,1,28,10,0,5,4,2,0,2,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,116441,5010,111431,106863,79519,25365,386,1164,112,317,4568,4355,1241,1892,393,50,495,124,43,22,79,0,0,2,11,0,3,198,115,24,0,15,12,0,4,11,3,0,5,0,0,3,3,2,0,0,0,1,11,4,0,1,2,2,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
G0100170,2020,0500000US01017,1017,3,6,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,29300,2,122,99999,,,,,,,,,,,,,,,1545085601,16971700,Chambers,Chambers County,A,32.9155039,-85.3940321,6,34772,33562,18850,13512,106,401,13,680,1210,1127,334,293,48,1,349,60,1,0,29,2,5,1,4,0,0,66,27,14,8,5,6,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,17,2,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34772,1237,33535,32639,18616,13441,71,385,11,115,896,839,330,291,48,1,91,54,1,0,17,1,1,0,4,0,0,52,19,14,8,1,5,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0100190,2020,0500000US01019,1019,3,6,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,1433620850,120310807,Cherokee,Cherokee County,A,34.0695153,-85.6542417,6,24971,24051,22707,987,109,56,1,191,920,888,179,457,21,9,176,11,0,3,15,1,1,2,6,7,0,25,10,2,5,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24971,400,24571,23761,22563,987,109,55,1,46,810,793,177,457,16,9,97,11,0,3,15,0,0,0,6,2,0,17,8,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
